chemist	nhà hóa học
succeed	thành công
breakthrough	đột phá
inexpensive	giá rẻ
snail	ốc sên
commonly	thường
assure	đảm bảo
flatter	nịnh hót
stumble upon	tình cờ gặp phải
functional	chức năng
solidify	đông đặc
eminent	nổi bật
desirability	mong muốn
excretion	bài tiết
outrageously	vô cùng
patent	bằng sáng chế
fierce	mạnh mẽ
fade	phai
objection	phản đối
outdo	vượt trội
decorative	trang trí
stain	vết bẩn
transmission	quá trình lây truyền
detection	phát hiện
telescope	kính thiên văn
impracticality	sự bất thực tế
urgency	khẩn cấp
nuclear	hạt nhân
conservative	thận trọng
congress	quốc hội
promptly	ngay lập tức
haunt	ma ám
poised	sẵn sàng
on the brink of	trên bờ vực
acronym	từ viết tắt
tenuous	mỏng manh
convincing	thuyết phục
inconceivable	không thể tưởng tượng nổi
attenuate	làm suy yếu
migrate	di cư
prior	trước
contemporary	đồng thời
streamline	hợp lý hóa
fragment	mảnh
overlap	sự chồng chéo
enterprising	năng động
parched	khô
worm	sâu
thoroughgoing	triệt để
cease	ngưng
vertebrate	động vật có xương sống
aquatic	thủy sinh
primeval	nguyên thủy
reverberation	sự vang vọng
amount to	số tiền lên tới
heighten	tăng cường
regulation	quy định
promulgate	ban hành
disability	khuyết tật
deficit	thâm hụt
hearing loss	mất thính lực
probable	có thể
sensory	cảm giác
adversely	bất lợi
persistence	sự kiên trì
formulate	xây dựng
measurement	đo lường
flee	bỏ chạy
rule out	loại trừ
cosmos	vũ trụ
witness	nhân chứng
dispiriting	chán nản
smear	bôi
desolate	hoang vắng
roughly	đại khái
thwart	ngăn chặn
besiege	vây
undaunted	không nao núng
equator	xích đạo
dog	chó
seek	tìm kiếm
specific	cụ thể
circuit	mạch điện
centralise	tập trung
novelty	sự mới lạ
receptive	dễ tiếp nhận
willingness	sự tự nguyện
afflict	làm đau khổ
ridicule	sự chế giễu
intertwine	đan xen
alienation	sự xa lánh
naysayer	người phản đối
constraint	ràng buộc
impede	cản trở
conjecture	phỏng đoán
bombard	bắn phá
phobia	chứng sợ hãi
identity	danh tính
understandable	có thể hiểu được
systematic	có hệ thống
usage	cách sử dụng
minor	người vị thành niên
prescriptive	mang tính quy phạm
pointless	vô nghĩa
variation	sự biến đổi
misrepresent	xuyên tạc
authoritarian	độc đoán
discredit	làm mất uy tín
invective	lời chửi rủa
polemic	tranh luận
exempt	miễn trừ
adherent	người theo đạo
half measures	biện pháp nửa vời
dispute	tranh luận
accurately	chính xác
valid	có hiệu lực
propound	đưa ra
chaos	sự hỗn loạn
tenet	nguyên tắc
elitist	người theo chủ nghĩa tinh hoa
turbine	tuabin
cut down on	giảm bớt
closure	đóng cửa
vicinity	khu vực lân cận
inland	vào sâu trong đất liền
comparatively	so sánh
jointly	cùng nhau
hostile	thù địch
diameter	đường kính
submerge	chìm xuống
foundation	sự thành lập
shun	tránh
achieve	đạt được
pin down	ghim chặt
probe	đầu dò
sensor	cảm biến
set about	bắt đầu
single-handedly	một mình
genuine	thành thật
central	trung tâm
faint	mờ nhạt
inveigle	dụ dỗ
down-to-earth	thực tế
interference	sự can thiệp
ravage	tàn phá
stunningly	tuyệt đẹp
cram	nhồi nhét
prodigious	phi thường
interrupt	ngắt
vacant	trống
radioactivity	phóng xạ
